map,label,map_w,map_h,iou,dice,f1,precision,recall,tp,fp,fn,tn,gt_positive_frac,pred_positive_frac,delta_e_nearest,n_legend_entries,target_rgb
AK_Hughes,ad_poly,12496,7336,0.34990311322036943,0.5184121879467779,0.5184121879467779,0.3610211773393913,0.9191063457996959,1122443,1986635,98790,88462788,0.013321962046393559,0.03391573853251361,10.304680381594492,84,"(143, 168, 63)"
AK_Hughes,afi_poly,12496,7336,0.0016470346456065445,0.0032886527661698376,0.0032886527661698376,0.0016497816465467806,0.4972774471318222,3927,2376388,3970,89286371,8.6145341863813e-05,0.025965942689446884,7.800618935557282,84,"(230, 206, 229)"
AK_Hughes,agl_poly,12496,7336,0.055526429408499355,0.10521087461469913,0.10521087461469915,0.05620115466502619,0.8222243364094758,86424,1451338,18686,90114208,0.0011466046452203854,0.016774855412837887,7.250930907597974,84,"(175, 222, 232)"
AK_Hughes,al_poly,12496,7336,0.0003801749383663092,0.0007600609206189674,0.0007600609206189675,0.0004700630111115022,0.001984151963882391,1576,3351166,792718,87525196,0.008664648369048433,0.03657377558201395,1.1052886132582607,84,"(255, 253, 244)"
AK_Hughes,al1_poly,12496,7336,0.00221489175884973,0.004419993710056888,0.004419993710056888,0.002442638517968856,0.023204027062277262,10639,4344897,447859,86867261,0.00500157869493156,0.04751287042169743,3.9657369675315994,84,"(254, 252, 220)"
AK_Hughes,al2_poly,12496,7336,0.002222011172515168,0.0044341695707034055,0.0044341695707034055,0.002782050897497975,0.01091754458242599,12985,4654435,1176385,85826851,0.012974380809492625,0.050915093266050156,0.0,84,"(254, 253, 241)"
AK_Hughes,als_poly,12496,7336,8.938163796596524e-05,0.0001787472992055455,0.0001787472992055455,9.07232457148387e-05,0.006007921555829168,405,4463721,67006,87139524,0.0007353607243740025,0.04869743705117589,0.4240937450004616,84,"(254, 253, 242)"
AK_Hughes,alsa_poly,12496,7336,5.8135969849073506e-05,0.00011626518050911843,0.00011626518050911843,5.881955170485465e-05,0.004977474204330766,274,4658041,54774,86957567,0.0006004975027123184,0.05081577031585767,0.0,84,"(254, 253, 241)"
AK_Hughes,altip_terr_poly,12496,7336,0.0039657990230930465,0.007900267174343905,0.007900267174343905,0.004074060774173179,0.12985919143054594,6013,1469910,40291,90154442,0.0005051125629558056,0.01610027749774148,0.678582896071079,84,"(228, 229, 231)"
AK_Hughes,ao_poly,12496,7336,0.08257204799461743,0.1525479032043657,0.15254790320436573,0.08360274645268784,0.8700900989611541,88362,968565,13193,90600536,0.0011078245147498453,0.011529610958603808,8.146980835548218,84,"(237, 213, 109)"
AK_Hughes,av_poly,12496,7336,5.7348885629517605e-05,0.00011469119384687657,0.00011469119384687657,5.734895083368934e-05,0.9805598755832037,2522,43973871,50,47694213,2.8056960779248705e-05,0.47972159160724237,0.2730329751185863,84,"(242, 153, 192)"
AK_Hughes,b_poly,12496,7336,0.009524490064057497,0.018869260048269137,0.018869260048269137,0.009554972308617281,0.7490935460478607,4132,428313,1384,91236827,6.017192677229232e-05,0.004717376517955757,12.856886204244804,84,"(129, 159, 211)"
AK_Hughes,bedrock_poly,12496,7336,0.005655636621424035,0.011247660561869018,0.011247660561869016,0.006431786271962629,0.04476886711457454,12254,1892971,261463,89503968,0.002985873691140598,0.020783368235087137,1.0343359047795047,84,"(245, 245, 246)"
AK_Hughes,br_undiff_poly,12496,7336,0.010086708184690192,0.019971964986684843,0.019971964986684843,0.07014087116970777,0.011643700569986804,71161,943383,6040384,84615728,0.0666684985869415,0.011067271079635342,0.3963747162089032,84,"(255, 255, 255)"
AK_Hughes,c_poly,12496,7336,0.051580149182736346,0.09810027171551924,0.09810027171551924,0.06486328966307692,0.20119662461547144,249515,3597268,990640,86833233,0.013528374881488794,0.04196307922133774,6.230360203507792,84,"(254, 239, 244)"
AK_Hughes,d_poly,12496,7336,0.008418024831664647,0.016695506475243475,0.01669550647524348,0.008445225849252214,0.7232663642255347,3348,393089,1281,91272938,5.0495984232948e-05,0.004324579067046275,9.926040629906446,84,"(156, 211, 174)"
AK_Hughes,ds_poly,12496,7336,0.019880434284470977,0.038985813662399976,0.038985813662399976,0.01991680395722928,0.9158741120757695,92833,4568206,8527,87001090,0.001105697334597453,0.05084548538629417,6.81213590152606,84,"(250, 187, 117)"
AK_Hughes,dt_poly,12496,7336,9.022953886351449e-05,0.00018044279645671344,0.00018044279645671344,9.097234056456666e-05,0.010929802955665025,71,780386,6425,90883774,7.086237061508537e-05,0.008513705847157896,0.46361069443312014,84,"(222, 227, 244)"
AK_Hughes,dta_poly,12496,7336,0.0015726734023117752,0.003140407968539021,0.0031404079685390207,0.0015949867399360227,0.10105633802816902,1435,898259,12765,90758197,0.00015490234955883812,0.009814416512956992,0.46361069443312014,84,"(223, 228, 244)"
AK_Hughes,dti_poly,12496,7336,0.000830616850551655,0.0016598549975728536,0.0016598549975728536,0.0008389987736898427,0.0767596794438544,795,946763,9562,90713536,0.00011298053763245678,0.010336546517131938,0.9082725999440421,84,"(220, 225, 244)"
AK_Hughes,f_poly,12496,7336,0.0009903138850412751,0.0019786682674234305,0.0019786682674234305,0.0009903231347351273,0.9906566903414485,52166,52623570,492,38994428,0.0005744259100753026,0.5746193852916248,0.0,84,"(200, 142, 191)"
AK_Hughes,fd_poly,12496,7336,0.0003436631576909224,0.0006870901877982877,0.0006870901877982877,0.00034366432736675337,0.9901934077907927,18175,52867733,180,38784568,0.00020022764972904743,0.5769120709684896,0.394750313443233,84,"(176, 123, 180)"
AK_Hughes,fdi_poly,12496,7336,2.105938288813473e-05,4.2117878799733386e-05,4.2117878799733386e-05,2.1059388806698774e-05,0.9868305531167691,1124,53371745,15,38297772,1.2424913813205395e-05,0.5822241416053573,0.394750313443233,84,"(177, 122, 180)"
AK_Hughes,fi_poly,12496,7336,0.0003584785274676611,0.0007167001333268913,0.0007167001333268913,0.00035847940687210435,0.9932032790287434,19143,53381414,131,38269968,0.00021025266798570746,0.5825261793697647,0.0,84,"(200, 142, 191)"
AK_Hughes,fl_poly,12496,7336,0.0007963836025199044,0.0015914997607269516,0.0015914997607269514,0.000796585415868681,0.7586544741998694,2323,2913874,739,88753720,3.340218270064523e-05,0.031811673737777116,7.800618935557282,84,"(247, 193, 217)"
AK_Hughes,gr_poly,12496,7336,0.01127434377217157,0.022297300117625745,0.022297300117625745,0.011403755060327713,0.49836919609204156,66773,5788579,67210,85748094,0.0014615691197846343,0.06387378748549591,0.0,84,"(253, 237, 221)"
AK_Hughes,grfn_poly,12496,7336,0.009283052792742224,0.018395340666932835,0.018395340666932835,0.00931752979957524,0.7150004100713524,61026,6488564,24325,85096741,0.0009310612983941121,0.0714469633554275,0.0,84,"(253, 237, 221)"
AK_Hughes,high_level_poly,12496,7336,0.00016125648031798645,0.0003224609617162466,0.0003224609617162466,0.00016316770538973467,0.01358005082592122,342,2095661,24842,89549811,0.00027472258952744924,0.02286449221002629,1.4749733924928288,84,"(224, 223, 227)"
AK_Hughes,I_poly,12496,7336,0.06678650503377768,0.12521062971576122,0.12521062971576122,0.06790529799248582,0.8021219036679916,106148,1457029,26186,90081293,0.00144358081172671,0.017052097892699708,0.0,84,"(173, 210, 239)"
AK_Hughes,I1_poly,12496,7336,0.08062680087346401,0.14922228619222447,0.14922228619222447,0.08271786024148771,0.7613037431067298,124799,1383932,39129,90122796,0.0017882276308789588,0.016458167376919394,0.0,84,"(174, 210, 238)"
AK_Hughes,id_poly,12496,7336,0.00034919596862443593,0.0006981481467305309,0.0006981481467305309,0.00035535993441427173,0.019734279655515646,456,1282750,22651,90364799,0.0002520653937504276,0.013998001716056226,3.9657369675315994,84,"(238, 244, 218)"
AK_Hughes,id1_poly,12496,7336,0.27374353463861195,0.42982519980567174,0.42982519980567174,0.2918993835159876,0.8148522704452763,564022,1368226,128155,89610253,0.0075506932120132314,0.02107815176974407,0.23531443592814755,84,"(208, 228, 174)"
AK_Hughes,id1A_poly,12496,7336,0.24586831890025734,0.39469390973403706,0.3946939097340371,0.260705267357183,0.8120385251535671,485556,1376915,112391,89695794,0.006522774310680181,0.02031698125952104,0.0,84,"(208, 228, 175)"
AK_Hughes,id1B_poly,12496,7336,0.09664693568923814,0.17625898097913514,0.17625898097913514,0.09876363207619172,0.8184947043325016,187635,1712204,41609,89729208,0.0025007348043849494,0.02072461442841644,0.0,84,"(208, 228, 175)"
AK_Hughes,id2_poly,12496,7336,0.00586839449400997,0.011668314714196772,0.01166831471419677,0.005882053779374564,0.716479972844535,8443,1426940,3341,90231932,0.0001285471329015034,0.015658042198367163,6.432348214498003,84,"(210, 225, 139)"
AK_Hughes,idt_poly,12496,7336,0.24593545908567038,0.39478041545771575,0.3947804154577158,0.261015815804388,0.8097677595628415,192051,543732,45117,90889756,0.0025871746788852477,0.008026374328552858,6.981586625227101,84,"(199, 196, 225)"
AK_Hughes,igl_poly,12496,7336,0.2395888645202266,0.38656182122603633,0.3865618212260363,0.2487364826981894,0.8669284631082321,370442,1118853,56862,90124499,0.004661295322245758,0.016246147513114775,0.25684149965948244,84,"(142, 216, 247)"
AK_Hughes,igl1A_poly,12496,7336,0.08971451763889525,0.16465691919619713,0.16465691919619715,0.09116774433889466,0.8491297855598308,137047,1366193,24350,90143066,0.0017606179233625207,0.016398268165551254,0.1518891289193779,84,"(143, 215, 246)"
AK_Hughes,igl1B_poly,12496,7336,0.027320170733620194,0.0531872565377755,0.05318725653777551,0.027449558389661524,0.8528539120692159,41105,1456369,7092,90166090,0.000525762573358262,0.01633536908473743,0.1518891289193779,84,"(142, 215, 246)"
AK_Hughes,ii1_poly,12496,7336,6.482840365365909e-05,0.0001296484024083538,0.00012964840240835382,6.483151731112471e-05,0.574438202247191,409,6308251,303,85361693,7.766934710274136e-06,0.06881875046252532,8.52794100430492,84,"(182, 169, 153)"
AK_Hughes,ik_poly,12496,7336,0.10493693612239494,0.1899419463533455,0.1899419463533455,0.10552969428131186,0.9491923941934165,64995,550898,3479,91051284,0.0007469565833585831,0.006718540336397287,8.929125250657815,84,"(137, 198, 122)"
AK_Hughes,io_poly,12496,7336,2.8842040407542708e-05,5.768241713647956e-05,5.768241713647957e-05,2.8844041514839167e-05,0.29365079365079366,185,6413618,445,85256408,6.872428184652676e-06,0.06996571509207919,6.7290321411055025,84,"(220, 212, 201)"
AK_Hughes,io1_poly,12496,7336,0.019310284358534435,0.037888922842933256,0.037888922842933256,0.019516572843007084,0.6462569132216608,129939,6527941,71125,84941651,0.0021933300008238187,0.07262825740005613,0.0,84,"(206, 173, 136)"
AK_Hughes,io1A_poly,12496,7336,0.0027274281254233133,0.005440018990050327,0.005440018990050327,0.00273023361230263,0.7263474339703672,16913,6177795,6372,85469576,0.00025400712742799616,0.06757569183316414,0.0,84,"(206, 173, 136)"
