map,n_features,zs_mean,zs_median,zs_n,pre_mean,pre_median,pre_n,sc_mean,sc_median,sc_n,pre_vs_zs_pct,pre_over_sc,mean_delta_e
AK_Hughes,84,0.06519575327942145,0.012938542839534191,84,0.10725089112644286,0.02277470242270626,84,0.01440205034090765,0.0018512877313125822,84,64.50594667842543,7.446918222595496,2.484316607565622
AK_Kechumstuk,31,0.10471395681925731,0.019823727466954544,31,0.1416251852542363,0.04854587905913376,31,0.005698358154542958,0.0017271051268300049,31,35.24957852437,24.85368265968454,6.937552881022309
AR_Maumee,19,0.14734379972985412,0.089050377070457,19,0.21070872656299833,0.11851695441652729,19,0.03351536107631652,0.006489599948762674,19,43.00481387701412,6.2869299269431025,8.185198809245696
AZ_GrandCanyon,41,0.07618956513244551,0.02050559818123664,41,0.10499792961351188,0.05396756073511909,41,0.015563120155810396,0.0028316464935935954,41,37.811430516747045,6.746586067724444,6.6321284929966255
AZ_PipeSpring,33,0.1961247452039149,0.12659295523469766,33,0.26926602925980303,0.1598608618215608,33,0.0377107080052525,0.016777935941575048,33,37.29324618361729,7.140306918191474,6.922587012216965
AZ_PrescottNF,180,0.046107038054489104,0.01011305311486027,180,0.06749757514343487,0.020293995690744047,180,0.0064904247352132,0.001985458865378426,180,46.39321455363608,10.399562108352171,2.414071442238309
CA_AZ_Needles,34,0.19369192459248802,0.0840496072271034,34,0.24260778564977095,0.17825156489206878,34,0.023582720312316768,0.014614113763659637,34,25.254465905172818,10.287523340683556,8.227303915588925
CA_Elsinore,29,0.14729554520089067,0.04213532500700984,29,0.18690471270936665,0.05171260832592522,29,0.017751576657150013,0.003985899096367207,29,26.89094734973456,10.528907731363953,7.026143474686254
CA_MarbleCanyon,14,0.19076516612085984,0.04286463223635702,14,0.32352011483129556,0.25291741437563564,14,0.04398887163236693,0.009105570277862947,14,69.59077037488512,7.354589986646761,9.720913240890088
CA_NV_DeathValley,13,0.23469917371648388,0.1351643555325791,13,0.3655347141632092,0.3413816031609832,13,0.06472728670786038,0.01824215912667696,13,55.74605925318441,5.647304757466673,9.269091682450126
CO_Alamosa,71,0.0474678097894062,0.0002617775917862546,71,0.11858170321117109,0.030913390169440294,71,0.016218033997716062,0.004517781424589408,71,149.81498775120647,7.31171874641961,5.769492406321201
CO_Clifton,19,0.06989503733123374,0.0012328003215605074,19,0.24263028791406838,0.042684050443013134,19,0.03174409435646073,0.010383990237073731,19,247.1352147137992,7.643320524111501,4.159854358804557
DC_Frederick,267,0.042734421517397515,0.006154505842366457,267,0.046382117442936716,0.008930215695443226,267,0.006367089672443201,0.0018933464959659983,267,8.535732545377254,7.284665338337981,3.333781401167617
KY_WestFranklin,9,0.086575484174999,0.001848442450255858,9,0.3811736779924622,0.36427241024740287,9,0.0807658438664126,0.0479933785293452,9,340.27900233509337,4.719491058905133,13.252871188383745
MA_Grafton,19,0.11964800696518924,0.021489775198388357,19,0.14584806095536215,0.15314659267350517,19,0.023716938767625984,0.004594323504133659,19,21.897610043597002,6.149531454474521,9.19855818452283
MN,100,0.11263349614197692,0.04211459587227505,100,0.153170286183275,0.07842029638947035,100,0.014777614757029232,0.007729571013187496,100,35.9899953653224,10.365020925343643,5.422815809553364
NH_Hartland,45,0.17738726711277975,0.0726040791121327,45,0.1871458219739111,0.04343185726539977,45,0.02588506354931302,0.005861645840554165,45,5.50127132570741,7.229876859965364,8.302733290132128
NM_Sunshine,20,0.12869867649916983,0.020466382668952364,20,0.31508345897654083,0.15252314855580476,20,0.05254226499385515,0.012774241443472764,20,144.8226101055307,5.9967620165097575,6.119956324401523
NM_Volcanoes,5,0.04388556841695732,0.037143157241645484,5,0.14013324182748757,0.07461939835138756,5,0.009575995937193656,0.005037721745334516,5,219.3150889515203,14.633803392000504,9.337076803806315
NV_HiddenHills,14,0.11850287279043348,0.0027421441036278417,14,0.17135921786450417,0.05638859333951494,14,0.07951036856718596,0.008659347841256946,14,44.60342929200083,2.155180776450637,6.614326440165006
OR_Camas,27,0.10727134214802908,0.008333992072544127,27,0.1476012706703776,0.04295388592573509,27,0.00637713650029937,0.001720466305912985,27,37.59618152879567,23.14538361589854,7.060935828969576
OR_Carlton,9,0.0894734714512091,0.0,9,0.19694196596832064,0.09142642531716881,9,0.06060507218587184,0.01928349603715472,9,120.11213242767198,3.2495954359119046,5.196890647712697
